file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\wps\wps-core\src\main\java\org\geoserver\wps\ppio\XMLPPIO.java,org.geoserver.wps.ppio.XMLPPIO,class,6,15,9,6,11,3,7,8,22,0.75,0.0,0.0,8,0,4,1,3,0,7,1,0,0,2,0,0,0,2,0,0,0,1,41,4,0,3,0,1,3,0,4,0,4,3,0,0,0,80,1025,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\security\core\src\main\java\org\geoserver\security\web\role\RolePaletteFormComponent.java,org.geoserver.security.web.role.RolePaletteFormComponent,class,12,21,9,12,10,3,1,15,21,0.0,0.0,0.0,7,0,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,41,4,1,0,0,0,10,0,2,0,2,2,1,0,0,45,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\wps\wps-core\src\main\java\org\geoserver\wps\DismissType.java,org.geoserver.wps.DismissType,class,1,6,5,1,30,1,0,3,0,0.5681818,0.0,0.0,11,0,11,0,0,0,11,0,0,0,4,0,0,0,0,4,0,0,0,65,18,0,15,0,8,4,6,11,9,7,2,0,0,0,38,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\main\src\main\java\org\geoserver\feature\FeatureSourceUtils.java,org.geoserver.feature.FeatureSourceUtils,class,2,2,0,2,4,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,16,1,0,1,1,1,2,0,4,0,2,2,0,0,0,61,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wcs2_0\src\main\java\org\geoserver\wcs2_0\kvp\AbstractAxisValueKvpParser.java,org.geoserver.wcs2_0.kvp.AbstractAxisValueKvpParser,class,3,6,3,3,12,2,0,7,6,0.0,0.0,0.0,4,0,1,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,43,1,1,4,0,1,5,10,12,5,10,3,0,0,0,36,1025,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\community\oseo\oseo-core\src\main\java\org\geoserver\opensearch\eo\OSEOXStreamLoader.java,org.geoserver.opensearch.eo.OSEOXStreamLoader,class,10,11,1,10,7,2,0,14,15,0.0,0.0,0.0,6,1,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,1,35,3,0,0,0,0,7,0,3,0,3,1,0,0,0,55,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\control-flow\src\main\java\org\geoserver\flow\controller\IpRequestMatcher.java,org.geoserver.flow.controller.IpRequestMatcher,class,4,7,3,4,13,1,0,5,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,34,10,0,6,0,2,1,3,7,3,6,2,0,0,0,34,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\gwc\src\test\java\org\geoserver\gwc\layer\GeoServerTileLayerInfoPersistenceTest.java,org.geoserver.gwc.layer.GeoServerTileLayerInfoPersistenceTest,class,20,21,1,20,8,1,0,56,0,0.6666667,0.0,0.0,8,0,5,1,0,2,7,0,0,0,3,0,0,3,0,0,0,0,14,122,3,0,0,0,1,34,19,26,1,22,0,0,0,2,89,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\core\src\main\java\org\geoserver\web\publish\PublishedConfigurationPage.java,org.geoserver.web.publish.PublishedConfigurationPage$Anonymous5$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\csw\api\src\main\java\org\geoserver\csw\records\CSWRecordBuilder.java,org.geoserver.csw.records.CSWRecordBuilder,class,2,4,2,2,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,3,0,0,3,0,0,0,0,0,36,1,0
